randomint,fraction of apps granted contacts,fraction of apps granted camera,fraction of apps granted microphone,fraction of apps granted phone,fraction of apps granted calendar,fraction of apps granted location,fraction of apps granted storage,fraction of apps granted sms,danger level of microphone,danger level of location,danger level of camera,danger level of contacts,danger level of phone,danger level of storage,danger level of calendar,danger level of sms
68639,0.230769231,0.058823529,0,0.28,0.375,0.142857143,0.411764706,0.166666667,4,4,5,5,5,5,5,5
27680,0.303030303,0.363636364,0.333333333,0.344827586,0.625,0.275862069,0.43902439,0.5625,5,5,5,5,5,5,5,5
69738,0.224489796,0.195121951,0.206896552,0.340909091,0.545454545,0.394736842,0.402777778,0.48,2,2,3,2,2,2,2,2
94397,0.25862069,0.285714286,0.222222222,0.319148936,0.333333333,0.236363636,0.24691358,0.448275862,2,4,4,4,2,4,2,2
83527,0.288461538,0.351351351,0.318181818,0.292682927,0.166666667,0.490566038,0.351351351,0.380952381,3,4,5,3,4,4,3,4
73931,0.373333333,0.357142857,0.258064516,0.305555556,0.181818182,0.613636364,0.431192661,0.441176471,4,3,3,2,3,4,4,3
86777,0.84,0.769230769,0.76,0.918918919,0.692307692,0.913043478,0.919354839,0.84,3,3,5,2,4,4,2,4
66914,0.333333333,0.4375,0.444444444,0.46875,0.555555556,0.4,0.622641509,0.473684211,2,1,2,2,2,4,1,4
37706,0.289473684,0.357142857,0.35,0.294117647,0.4,0.435897436,0.384615385,0.473684211,3,4,2,4,4,5,3,4
27081,0.266666667,0.394736842,0.333333333,0.421052632,0.5,0.465116279,0.424242424,0.380952381,3,3,4,4,3,3,2,3
15759,0.321428571,0.2,0.333333333,0.368421053,0.444444444,0.173913043,0.4375,0.416666667,5,5,5,3,5,4,3,5
82530,0.5,0.294117647,0.4,0.52173913,0.333333333,0.423076923,0.595238095,0.705882353,4,4,4,4,4,4,4,4
65340,0.352941176,0.375,0.25,0.611111111,0.375,0.25,0.56,0.555555556,3,4,3,3,3,2,3,3
25227,0.288888889,0.297297297,0.375,0.352941176,0.375,0.441860465,0.5125,0.444444444,1,1,1,1,1,1,1,1
72568,0.238095238,0.303030303,0.264705882,0.285714286,0.388888889,0.421686747,0.43220339,0.435897436,4,4,4,3,4,4,3,4
87973,0.358974359,0.222222222,0.421052632,0.4,0.454545455,0.375,0.481481481,0.5625,1,2,5,5,4,1,1,5
29674,0.384615385,0.227272727,0.3,0.448275862,0.375,0.371428571,0.5,0.545454545,2,2,2,2,2,2,2,2
37488,0.192982456,0.377777778,0.454545455,0.3,0.5,0.403508772,0.536585366,0.4,5,4,3,2,3,4,3,3
12311,0.36,0.371428571,0.36,0.342105263,0.538461538,0.463414634,0.491803279,0.454545455,3,4,4,4,4,4,4,4
69936,0.30952381,0.290322581,0.4,0.366666667,0.363636364,0.390243902,0.317460317,0.5,4,5,4,4,5,5,3,5
17852,0.793103448,0.666666667,0.6875,0.607142857,1,0.724137931,0.785714286,0.666666667,3,3,3,2,2,4,2,3
41402,0.303797468,0.34375,0.276595745,0.275362319,0.333333333,0.432432432,0.434108527,0.40625,3,5,4,5,2,3,2,3
74978,0.541666667,0.266666667,0.454545455,0.434782609,0.444444444,0.5,0.444444444,0.333333333,2,2,4,4,4,4,4,4
98138,0.826086957,0.757575758,0.7,0.666666667,0.909090909,0.777777778,0.85483871,0.7,5,5,5,5,5,5,5,5
71890,0.30952381,0.424242424,0.44,0.384615385,0.4,0.613636364,0.47826087,0.6,5,4,4,4,4,5,5,2
55070,0.264367816,0.356164384,0.285714286,0.235294118,0.277777778,0.405940594,0.340740741,0.414634146,2,4,2,4,2,2,2,2
37803,0.37037037,0.357142857,0.230769231,0.35,0.333333333,0.421052632,0.535714286,0.4,4,4,4,4,4,4,4,4
41188,0.405405405,0.260869565,0.380952381,0.424242424,0.384615385,0.514285714,0.444444444,0.555555556,3,3,3,3,3,3,3,3
79771,0.255813953,0.21875,0.384615385,0.285714286,0.333333333,0.425,0.270833333,0.333333333,3,5,4,5,5,5,4,5
37720,0.375,0.258064516,0.346153846,0.386363636,0.461538462,0.452380952,0.466666667,0.533333333,3,4,2,4,4,4,4,3
71328,0.272727273,0.428571429,0.285714286,0.365853659,0.416666667,0.527777778,0.592592593,0.391304348,3,3,3,3,3,4,3,3
58982,0.228571429,0.357142857,0.421052632,0.3,0.25,0.40625,0.4375,0.235294118,2,5,5,4,5,2,2,3
72489,0.279069767,0.230769231,0.25,0.243243243,0.285714286,0.416666667,0.408450704,0.315789474,3,3,4,4,4,3,1,3
44333,0.318181818,0.461538462,0.5,0.388888889,0.5,0.142857143,0.457142857,0.777777778,4,5,5,4,4,4,4,5
37553,0.458333333,0.266666667,0.272727273,0.444444444,0.5,0.391304348,0.379310345,0.555555556,3,4,4,3,4,4,3,4
84117,0.315789474,0.4,0.428571429,0.29787234,0.454545455,0.333333333,0.383561644,0.387096774,2,4,3,4,3,3,3,3
89691,0.322580645,0.4,0.457142857,0.339622642,0.357142857,0.549019608,0.414634146,0.357142857,1,1,1,1,1,1,1,1
52757,0.266666667,0.25,0.285714286,0.320754717,0.333333333,0.396226415,0.44047619,0.419354839,2,4,3,4,4,4,3,2
99400,0.45,0.5625,0.5,0.373333333,0.733333333,0.518518519,0.504273504,0.535714286,1,3,1,2,3,1,2,3
16888,0.451219512,0.641791045,0.387755102,0.416666667,0.357142857,0.652173913,0.618320611,0.548387097,2,2,2,2,2,2,2,2
50970,0.311111111,0.470588235,0.266666667,0.318181818,0.4,0.363636364,0.462686567,0.555555556,4,5,5,3,4,5,2,4
87492,0.4,0.466666667,0.476190476,0.552631579,0.545454545,0.461538462,0.535714286,0.592592593,4,5,5,5,3,5,2,4
36966,0.315789474,0.315789474,0.285714286,0.309090909,0.461538462,0.465517241,0.454545455,0.482758621,2,2,1,3,2,3,2,4
64440,0.382352941,0.347826087,0.409090909,0.4375,0.5,0.433333333,0.466666667,0.571428571,2,2,2,2,2,2,2,2
90764,0.697368421,0.580645161,0.5,0.515625,0.5,0.781609195,0.67768595,0.692307692,4,5,2,4,4,5,3,5
11719,0.310344828,0.458333333,0.333333333,0.407407407,0.625,0.392857143,0.538461538,0.555555556,3,3,4,2,3,4,1,4
28230,0.239130435,0.302325581,0.259259259,0.242424242,0.363636364,0.466666667,0.309859155,0.238095238,3,4,3,4,4,4,2,4
73757,0.333333333,0.282051282,0.25,0.32,0.454545455,0.5,0.476923077,0.481481481,5,5,5,3,4,5,3,3
22948,0.388888889,0.32,0.263157895,0.384615385,0.4,0.533333333,0.346153846,0.4,4,4,4,4,4,5,3,5
45895,0.326923077,0.416666667,0.5,0.348837209,0.4375,0.4375,0.453125,0.583333333,2,3,3,1,2,3,1,3
45257,0.272727273,0.305555556,0.384615385,0.488372093,0.416666667,0.358974359,0.493670886,0.454545455,0,5,5,0,0,5,0,5
49331,0.255813953,0.081081081,0.192307692,0.2,0.375,0.5,0.220588235,0.4,5,4,5,4,4,5,5,5
12323,0.231707317,0.257575758,0.285714286,0.267605634,0.277777778,0.476744186,0.435897436,0.448275862,3,4,3,4,4,5,2,3
98499,0.73015873,0.74,0.617647059,0.655172414,0.846153846,0.740740741,0.777777778,0.740740741,3,3,4,3,4,4,4,4
13096,0.419354839,0.384615385,0.75,0.428571429,0.333333333,0.523809524,0.55,0.384615385,2,2,2,2,2,3,2,3
71705,0.166666667,0.245614035,0.133333333,0.24,0.461538462,0.590909091,0.291666667,0.272727273,3,3,4,4,3,4,4,3
99812,0.297297297,0.272727273,0.2,0.272727273,0.25,0.4,0.326530612,0.307692308,2,4,4,4,2,2,4,4
86304,0.785714286,0.764705882,0.916666667,0.892857143,0.857142857,0.947368421,0.930232558,0.789473684,5,1,1,1,1,5,5,5
57599,0.276595745,0.25,0.235294118,0.352941176,0.4,0.5,0.369230769,0.555555556,2,3,2,4,4,2,2,4
17730,0.268292683,0.451612903,0.315789474,0.255319149,0.444444444,0.4,0.482758621,0.476190476,2,1,2,2,2,2,1,2
47702,0.634146341,0.553571429,0.571428571,0.623376623,0.611111111,0.716216216,0.756756757,0.722222222,3,4,4,3,3,4,3,2
52304,0.795454545,0.833333333,0.681818182,0.769230769,0.8,0.825,0.890909091,0.791666667,4,4,4,3,4,4,3,3
93539,0.283018868,0.333333333,0.384615385,0.276595745,0.363636364,0.44,0.367647059,0.481481481,3,3,4,5,5,2,2,4
25088,0.391304348,0.4,0.296296296,0.347826087,0.454545455,0.47826087,0.634920635,0.5,2,5,4,4,4,2,1,4
24815,0.298701299,0.3125,0.303030303,0.316666667,0.375,0.506493506,0.401960784,0.444444444,3,3,4,4,4,4,4,4
14600,0.253731343,0.333333333,0.323529412,0.285714286,0.416666667,0.362318841,0.329545455,0.4375,4,4,5,4,2,1,1,2
71392,0.314814815,0.510638298,0.407407407,0.319148936,0.555555556,0.549019608,0.5,0.5,3,3,4,3,4,4,4,4
34758,0.333333333,0.574074074,0.535714286,0.322580645,0.583333333,0.463768116,0.577777778,0.5,5,5,5,5,5,5,5,5
27932,0.469387755,0.342105263,0.307692308,0.411764706,0.230769231,0.52173913,0.423728814,0.45,2,4,2,2,4,2,2,2
37041,0.307692308,0.137931034,0.3,0.322580645,0.333333333,0.552631579,0.369565217,0.470588235,4,3,5,3,3,3,2,3
13257,0.285714286,0.301886792,0.333333333,0.296296296,0.5,0.483333333,0.4375,0.428571429,3,3,3,3,3,2,2,3
71825,0.524271845,0.47826087,0.475,0.444444444,0.529411765,0.717948718,0.537414966,0.583333333,1,4,1,1,1,1,1,1
16707,0.261904762,0.363636364,0.45,0.216216216,0.4,0.483870968,0.5625,0.388888889,3,3,3,5,3,3,3,3
32689,0.261538462,0.395833333,0.307692308,0.290322581,0.545454545,0.442622951,0.40625,0.538461538,3,4,4,3,2,3,1,4
89375,0.464285714,0.722222222,0.696969697,0.526315789,0.571428571,0.764705882,0.696969697,0.583333333,2,2,2,2,2,2,2,2
42764,0.6,0.56097561,0.517241379,0.88,0.615384615,0.565217391,0.626666667,0.703703704,2,2,3,4,4,3,2,4
85316,0.304347826,0.333333333,0.352941176,0.47826087,0.545454545,0.428571429,0.454545455,0.571428571,3,4,4,3,4,4,2,3
41468,0.257142857,0.16,0.272727273,0.322580645,0.428571429,0.435483871,0.346938776,0.538461538,5,5,5,5,5,5,5,5
18957,0.333333333,0.133333333,0.4,0.4,0.285714286,0.571428571,0.512820513,0.384615385,4,4,4,4,4,4,2,4
36881,0.666666667,0.615384615,0.6,0.611111111,0.666666667,0.473684211,0.857142857,0.666666667,3,3,3,3,3,3,3,3
93058,0.8125,0.777777778,0.545454545,0.8125,0.833333333,0.8,0.857142857,0.777777778,2,2,2,2,2,2,2,2
28273,0.347826087,0.482758621,0.433333333,0.236363636,0.454545455,0.52238806,0.468085106,0.461538462,4,4,4,3,4,3,3,4
91257,0.25,0.387096774,0.45,0.380952381,0.714285714,0.375,0.655737705,0.526315789,4,4,4,3,3,3,1,4
49441,0.346938776,0.421052632,0.45,0.441176471,0.444444444,0.321428571,0.396551724,0.642857143,2,4,4,4,2,2,2,4
50375,0.292682927,0.125,0.222222222,0.375,0.230769231,0.40625,0.489361702,0.333333333,3,4,4,3,5,5,2,3
50502,0.277777778,0.310344828,0.347826087,0.28125,0.230769231,0.432432432,0.295081967,0.277777778,2,4,5,4,4,2,2,4
60029,0.195652174,0.111111111,0.315789474,0.217391304,0.214285714,0.272727273,0.19047619,0.3125,4,5,5,4,5,4,5,5
63822,0.3125,0.424242424,0.470588235,0.365853659,0.416666667,0.5,0.439393939,0.55,4,4,2,4,4,4,4,4
12509,0.325,0.304347826,0.277777778,0.45,0.444444444,0.53125,0.5,0.5,3,4,4,4,3,3,3,4
48528,0.333333333,0.25,0.166666667,0.285714286,0.5,0.1875,0.29787234,0.444444444,2,2,3,2,2,2,2,2
29362,0.416666667,0.526315789,0.636363636,0.411764706,0.571428571,0.380952381,0.806451613,0.5,3,4,4,3,3,4,3,3
93529,0.215053763,0.216216216,0.240740741,0.275,0.4,0.364583333,0.355072464,0.46875,3,4,4,3,4,3,3,3
27953,0.857142857,0.906976744,0.793103448,0.814814815,0.923076923,0.927272727,0.9375,0.875,5,5,5,5,5,5,5,5
54123,0.80952381,0.652173913,0.565217391,0.731707317,0.888888889,0.733333333,0.925925926,0.80952381,3,3,4,5,3,3,3,3
78275,0.296296296,0.35,0.323529412,0.425531915,0.230769231,0.388888889,0.402777778,0.413793103,3,3,3,3,4,4,3,4
51938,0.451612903,0.357142857,0.409090909,0.535714286,0.428571429,0.535714286,0.533333333,0.666666667,1,2,1,2,2,3,2,3
36851,0.24,0.362068966,0.264705882,0.204545455,0.214285714,0.52,0.348314607,0.3,2,3,2,2,4,4,2,3
14201,0.3,0.375,0.636363636,0.523809524,0.222222222,0.380952381,0.5,0.5,4,5,3,3,4,4,4,4
19010,0.261904762,0.464285714,0.523809524,0.303030303,0.5,0.368421053,0.591836735,0.476190476,3,3,4,4,2,4,2,4
85600,0.258426966,0.368421053,0.24137931,0.323529412,0.4,0.469135802,0.32885906,0.423076923,3,5,4,4,3,3,3,4
40205,0.377777778,0.342857143,0.375,0.275,0.545454545,0.431818182,0.610169492,0.380952381,4,4,4,4,4,4,3,4
46894,0.885714286,0.863636364,0.7,0.740740741,0.888888889,0.857142857,0.931818182,0.666666667,4,5,4,4,4,3,1,5
63985,0.368421053,0.456140351,0.348837209,0.375,0.533333333,0.604395604,0.537735849,0.472222222,3,3,3,3,3,3,3,3
44456,0.333333333,0.277777778,0.363636364,0.487179487,0.444444444,0.519230769,0.38028169,0.5,2,2,3,3,4,2,2,2
15619,0.333333333,0.375,0.384615385,0.333333333,0.5,0.380952381,0.444444444,0.444444444,4,4,3,5,3,2,2,4
85032,0.2,0.1875,0.454545455,0.333333333,0.285714286,0.291666667,0.272727273,0.333333333,3,2,3,3,3,4,2,4
16005,0.74137931,0.685185185,0.620689655,0.68627451,0.666666667,0.727272727,0.8,0.733333333,3,3,4,4,4,4,2,4
13835,0.392857143,0.384615385,0.413793103,0.581395349,0.461538462,0.468085106,0.493670886,0.481481481,2,2,1,3,3,4,1,3
10389,0.345454545,0.30952381,0.310344828,0.333333333,0.5,0.365384615,0.46835443,0.548387097,2,2,2,4,3,3,2,3
47726,0.435483871,0.153846154,0.235294118,0.430769231,0.545454545,0.470588235,0.488636364,0.484848485,1,1,3,3,4,4,3,3
86824,0.272727273,0.302325581,0.24,0.28,0.25,0.4,0.414634146,0.523809524,3,3,4,3,4,3,2,3
73421,0.25,0.222222222,0.230769231,0.3,0.625,0.291666667,0.432432432,0.538461538,3,4,4,3,3,3,2,4
35245,0.409090909,0.339622642,0.34375,0.357142857,0.411764706,0.5,0.46875,0.464285714,4,4,5,3,4,2,3,4
55661,0.259259259,0.3,0.269230769,0.236842105,0.285714286,0.481481481,0.292307692,0.208333333,2,2,2,4,2,2,3,4
20375,0.449275362,0.5,0.32,0.49122807,0.545454545,0.582278481,0.575757576,0.666666667,5,5,5,5,5,5,5,5
10680,0.315789474,0.304347826,0.344827586,0.36,0.333333333,0.538461538,0.403846154,0.52,3,4,4,3,5,5,4,5
76987,0.322580645,0.181818182,0.176470588,0.230769231,0.428571429,0.269230769,0.456521739,0.5,2,4,2,4,1,1,1,4
38587,0.350877193,0.5,0.392857143,0.38,0.625,0.410714286,0.578313253,0.615384615,4,4,4,4,4,4,4,4
39153,0.264150943,0.317073171,0.307692308,0.390243902,0.428571429,0.357142857,0.380952381,0.454545455,3,2,2,2,2,2,2,2
41877,0.37037037,0.384615385,0.371428571,0.466666667,0.461538462,0.391304348,0.5,0.535714286,3,5,4,5,4,3,2,4
40634,0.34,0.266666667,0.380952381,0.366666667,0.461538462,0.2,0.452054795,0.5,3,4,5,3,5,5,3,5
37690,0.8,0.741935484,0.68,0.8,0.692307692,0.785714286,0.8125,0.875,5,5,5,5,5,5,5,5
88060,0.272727273,0.105263158,0.263157895,0.25,0.333333333,0.178571429,0.288888889,0.272727273,4,5,2,4,2,4,2,4
72263,0.228571429,0.474576271,0.414634146,0.304347826,0.5,0.470588235,0.489795918,0.5,4,4,4,4,4,4,4,4
16483,0.705882353,0.586206897,0.590909091,0.661290323,0.615384615,0.666666667,0.775700935,0.677419355,4,3,2,4,3,3,2,2
57244,0.397058824,0.386363636,0.294117647,0.444444444,0.2,0.508196721,0.443181818,0.5,1,1,1,1,1,1,1,1
51170,0.236842105,0.2,0.238095238,0.3,0.272727273,0.344827586,0.292682927,0.333333333,4,4,1,4,4,4,4,5
90090,0.25,0.261904762,0.323529412,0.230769231,0.416666667,0.423076923,0.378378378,0.4,4,5,5,3,4,5,5,4
79109,0.875,0.85,0.733333333,0.76,0.636363636,0.814814815,0.615384615,0.75,4,2,3,4,4,4,2,3
68864,0.29787234,0.3,0.272727273,0.303030303,0.3,0.5,0.561403509,0.411764706,3,5,5,3,4,5,2,5
84487,0.394736842,0.406779661,0.405405405,0.328125,0.466666667,0.476190476,0.486238532,0.394736842,4,5,4,5,3,5,2,4
55057,0.196078431,0.25,0.25,0.40625,0.363636364,0.314814815,0.410958904,0.333333333,4,4,3,4,4,4,3,4
47724,0.368421053,0.535714286,0.55,0.5,0.7,0.592592593,0.634615385,0.529411765,3,4,3,3,5,4,4,3
71012,0.820512821,0.68,0.541666667,0.777777778,0.875,0.806451613,0.84,0.857142857,3,4,5,3,4,4,1,4
79002,0.757575758,0.6875,0.727272727,0.8,0.857142857,0.739130435,0.738095238,0.875,4,4,3,5,4,4,3,4
17957,0.811320755,0.810810811,0.65625,0.75,0.8,0.704545455,0.875,0.724137931,5,4,4,4,3,2,2,5
43479,0.375,0.384615385,0.466666667,0.655172414,0.625,0.538461538,0.673076923,0.75,4,4,2,4,4,4,1,4
59133,0.35,0.321428571,0.28,0.342105263,0.333333333,0.351351351,0.473684211,0.434782609,1,1,5,5,5,5,5,5
24375,0.35,0.485714286,0.466666667,0.36,0.625,0.571428571,0.490909091,0.7,4,4,4,4,4,3,4,5
41352,0.871794872,0.678571429,0.642857143,0.813953488,0.909090909,0.789473684,0.910714286,0.76,3,5,3,3,3,3,3,3
13673,0.290322581,0.19047619,0.258064516,0.265306122,0.181818182,0.295081967,0.285714286,0.413793103,4,3,3,3,3,4,2,3